artifact_id,region_id,month,product_id,observation_status,detected_cell_days,valid_cell_days,eligible_land_cell_days,support_fraction,rate_per_1000,comparison_status
art_science_aoi_sample_202303_r2_12de5b9c94a1,region_ne_india_myanmar_candidate_r2,2023-03,myd14a1_061_aqua,available,8139,3685901,4213603,0.874762,2.2081,calibration_not_released
art_science_aoi_sample_202303_r2_12de5b9c94a1,region_ne_india_myanmar_candidate_r2,2023-03,vnp14a1_002_suomi_npp,available,6235,3769802,4212296,0.894952,1.6539,calibration_not_released
