artifact_id,region_id,block_id,block_row,block_col,longitude,latitude,month,product_id,eligible_land_cell_days,valid_cell_days,detected_cell_days,native_rate_per_1000,support_fraction,observation_status,comparison_status,investigation_priority
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c073,108,73,92.22664,20.95833,2023-03,myd14a1_061_aqua,1204,1135,0,0.0,0.942691,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c074,108,74,92.31588,20.95833,2023-03,myd14a1_061_aqua,926,871,0,0.0,0.940605,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c075,108,75,92.40512,20.95833,2023-03,myd14a1_061_aqua,2529,2274,0,0.0,0.89917,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c076,108,76,92.49435,20.95833,2023-03,myd14a1_061_aqua,3100,2816,3,1.0653,0.908387,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c077,108,77,92.58359,20.95833,2023-03,myd14a1_061_aqua,3100,2858,8,2.7992,0.921935,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c078,108,78,92.67283,20.95833,2023-03,myd14a1_061_aqua,2449,2279,0,0.0,0.930584,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r108_c079,108,79,92.76206,20.95833,2023-03,myd14a1_061_aqua,31,28,0,0.0,0.903226,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c073,109,73,92.17539,20.875,2023-03,myd14a1_061_aqua,26,25,0,0.0,0.961538,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c074,109,74,92.26458,20.875,2023-03,myd14a1_061_aqua,806,764,0,0.0,0.947891,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c075,109,75,92.35376,20.875,2023-03,myd14a1_061_aqua,1738,1577,0,0.0,0.907365,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c076,109,76,92.44295,20.875,2023-03,myd14a1_061_aqua,3100,2836,0,0.0,0.914839,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c077,109,77,92.53214,20.875,2023-03,myd14a1_061_aqua,3064,2716,0,0.0,0.886423,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c078,109,78,92.62133,20.875,2023-03,myd14a1_061_aqua,3090,2817,0,0.0,0.91165,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r109_c079,109,79,92.71051,20.875,2023-03,myd14a1_061_aqua,1178,1069,1,0.9355,0.90747,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r110_c075,110,75,92.30266,20.79167,2023-03,myd14a1_061_aqua,326,299,0,0.0,0.917178,available,calibration_not_released,unavailable
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,h26v06_r110_c076,110,76,92.3918,20.79167,2023-03,myd14a1_061_aqua,1770,1641,0,0.0,0.927119,available,calibration_not_released,unavailable
