artifact_id,region_id,month,product_id,observation_status,detected_cell_days,valid_cell_days,eligible_land_cell_days,support_fraction,rate_per_1000,comparison_status
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,2023-03,myd14a1_061_aqua,available,1420,757645,853259,0.887943,1.8742,calibration_not_released
art_local_aoi_sample_202303_r2_edd035e463a2,region_chattogram_hills_candidate_r2,2023-03,vnp14a1_002_suomi_npp,available,787,782047,860945,0.908359,1.0063,calibration_not_released
